g_loss,d_loss,epoch,created_at
0.9055842161178589,0.6698552370071411,0,2019-12-12 07:26:32.646904
0.42495036125183105,0.5447859168052673,0,2019-12-12 07:26:32.776779
0.4207940697669983,0.539889395236969,0,2019-12-12 07:26:32.905965
0.6234347820281982,0.38956981897354126,0,2019-12-12 07:26:33.042366
0.4099333882331848,0.5497559905052185,0,2019-12-12 07:26:33.172231
0.42094850540161133,0.5382634401321411,0,2019-12-12 07:26:33.311397
0.33266013860702515,0.6385543942451477,0,2019-12-12 07:26:33.449249
0.41603386402130127,0.5463322997093201,0,2019-12-12 07:26:33.592903
0.4065548777580261,0.5543164610862732,0,2019-12-12 07:26:33.737200
0.41137444972991943,0.5455998778343201,0,2019-12-12 07:26:33.873568
0.4059593081474304,0.5501013994216919,0,2019-12-12 07:26:34.024412
0.3963889479637146,0.5593215823173523,0,2019-12-12 07:26:34.174832
0.40457862615585327,0.5508249998092651,0,2019-12-12 07:26:34.325205
0.38440826535224915,0.5739877820014954,0,2019-12-12 07:26:34.483585
0.4306133985519409,0.5255920886993408,0,2019-12-12 07:26:34.636226
0.41081535816192627,0.5445128083229065,0,2019-12-12 07:26:34.781603
0.40362799167633057,0.5525976419448853,0,2019-12-12 07:26:34.921587
0.34003376960754395,0.6237815022468567,0,2019-12-12 07:26:35.056657
0.36087435483932495,0.598534882068634,0,2019-12-12 07:26:35.193047
0.3978372812271118,0.5582641363143921,0,2019-12-12 07:26:35.327176
0.4171779155731201,0.5384423136711121,0,2019-12-12 07:26:35.464791
0.43056267499923706,0.5268024802207947,0,2019-12-12 07:26:35.597350
0.39887985587120056,0.5574898719787598,0,2019-12-12 07:26:35.731916
0.4283096492290497,0.5278832912445068,0,2019-12-12 07:26:35.865083
0.402606725692749,0.5527198910713196,0,2019-12-12 07:26:35.997870
0.40594959259033203,0.5491953492164612,0,2019-12-12 07:26:36.132666
0.4027872681617737,0.5522914528846741,0,2019-12-12 07:26:36.267694
0.4057190418243408,0.549457848072052,0,2019-12-12 07:26:36.400204
0.39738503098487854,0.5577192902565002,0,2019-12-12 07:26:36.524134
0.4063742756843567,0.548639178276062,0,2019-12-12 07:26:36.649925
0.3763377368450165,0.5801316499710083,0,2019-12-12 07:26:36.786727
0.4707375168800354,0.49095794558525085,0,2019-12-12 07:26:36.920904
0.46595579385757446,0.49516040086746216,0,2019-12-12 07:26:37.054003
0.385736346244812,0.570925235748291,0,2019-12-12 07:26:37.187993
0.37980806827545166,0.5771262049674988,0,2019-12-12 07:26:37.321768
0.39705580472946167,0.558313250541687,0,2019-12-12 07:26:37.457052
0.4070189297199249,0.5481700897216797,0,2019-12-12 07:26:37.590160
0.41075271368026733,0.5443098545074463,0,2019-12-12 07:26:37.723770
0.40916505455970764,0.5458256006240845,0,2019-12-12 07:26:37.858654
0.40665873885154724,0.5482940077781677,0,2019-12-12 07:26:37.990019
0.4051218032836914,0.549820601940155,0,2019-12-12 07:26:38.124677
