d_loss,epoch,created_at
58.711082458496094,43,2019-12-13 05:31:34.075645
63.845489501953125,43,2019-12-13 05:31:34.185452
73.17417907714844,43,2019-12-13 05:31:34.298254
78.64293670654297,43,2019-12-13 05:31:34.413931
85.05479431152344,43,2019-12-13 05:31:34.537597
87.53154754638672,43,2019-12-13 05:31:34.659564
93.94661712646484,43,2019-12-13 05:31:34.775279
118.96892547607422,43,2019-12-13 05:31:34.899960
117.30795288085938,43,2019-12-13 05:31:35.025209
100.6420669555664,43,2019-12-13 05:31:35.149902
113.22852325439453,43,2019-12-13 05:31:35.280601
118.00668334960938,43,2019-12-13 05:31:35.406098
114.01451873779297,43,2019-12-13 05:31:35.532016
119.83242797851562,43,2019-12-13 05:31:35.649652
138.79754638671875,43,2019-12-13 05:31:35.768748
145.42071533203125,43,2019-12-13 05:31:35.891661
136.9053955078125,43,2019-12-13 05:31:36.007943
129.19058227539062,43,2019-12-13 05:31:36.125913
145.97621154785156,43,2019-12-13 05:31:36.244699
151.4206085205078,43,2019-12-13 05:31:36.355844
158.3462677001953,43,2019-12-13 05:31:36.472098
153.75003051757812,43,2019-12-13 05:31:36.583483
209.16473388671875,43,2019-12-13 05:31:36.700786
205.5962677001953,43,2019-12-13 05:31:36.823988
184.5182647705078,43,2019-12-13 05:31:36.944607
187.31393432617188,43,2019-12-13 05:31:37.065624
177.19046020507812,43,2019-12-13 05:31:37.180354
235.0666961669922,43,2019-12-13 05:31:37.294457
223.88333129882812,43,2019-12-13 05:31:37.410931
229.9706268310547,43,2019-12-13 05:31:37.525152
241.04766845703125,43,2019-12-13 05:31:37.646807
231.68482971191406,43,2019-12-13 05:31:37.775830
249.67335510253906,43,2019-12-13 05:31:37.906066
240.7761688232422,43,2019-12-13 05:31:38.041770
262.3052978515625,43,2019-12-13 05:31:38.175347
278.452392578125,43,2019-12-13 05:31:38.306801
284.1102294921875,43,2019-12-13 05:31:38.439560
298.0338134765625,43,2019-12-13 05:31:38.569589
288.28802490234375,43,2019-12-13 05:31:38.699056
289.55426025390625,43,2019-12-13 05:31:38.832748
319.7924499511719,43,2019-12-13 05:31:38.970759
304.6328430175781,43,2019-12-13 05:31:39.102691
327.3165588378906,43,2019-12-13 05:31:39.234937
340.6143798828125,43,2019-12-13 05:31:39.370120
391.62652587890625,43,2019-12-13 05:31:39.505710
385.7950744628906,43,2019-12-13 05:31:39.638597
366.3397521972656,43,2019-12-13 05:31:39.771615
391.3338623046875,43,2019-12-13 05:31:39.900507
391.192626953125,43,2019-12-13 05:31:40.030283
409.57269287109375,43,2019-12-13 05:31:40.156885
402.8764953613281,43,2019-12-13 05:31:40.283858
429.7762756347656,43,2019-12-13 05:31:40.399263
476.4217224121094,43,2019-12-13 05:31:40.529738
435.4313049316406,43,2019-12-13 05:31:40.653995
452.7025451660156,43,2019-12-13 05:31:40.788349
448.8265380859375,43,2019-12-13 05:31:40.918841
505.20684814453125,43,2019-12-13 05:31:41.051021
482.22833251953125,43,2019-12-13 05:31:41.179995
474.628173828125,43,2019-12-13 05:31:41.309243
556.621826171875,43,2019-12-13 05:31:41.436399
501.4205017089844,43,2019-12-13 05:31:41.569793
523.4312744140625,43,2019-12-13 05:31:41.696661
