d_loss,epoch,created_at,g_loss
141.12571716308594,24,2019-12-13 05:27:23.031525,
139.5801239013672,24,2019-12-13 05:27:23.148697,
124.25645446777344,24,2019-12-13 05:27:23.269119,-6016.73046875
125.5047836303711,24,2019-12-13 05:27:23.385198,
130.8680419921875,24,2019-12-13 05:27:23.502029,
123.5672378540039,24,2019-12-13 05:27:23.619415,
124.35021209716797,24,2019-12-13 05:27:23.734250,
139.33694458007812,24,2019-12-13 05:27:23.846230,
131.79971313476562,24,2019-12-13 05:27:23.961541,
114.94483947753906,24,2019-12-13 05:27:24.075825,
107.53451538085938,24,2019-12-13 05:27:24.192685,
129.70480346679688,24,2019-12-13 05:27:24.301474,
121.9560317993164,24,2019-12-13 05:27:24.413571,
131.04092407226562,24,2019-12-13 05:27:24.531958,
113.54920196533203,24,2019-12-13 05:27:24.645167,
152.24411010742188,24,2019-12-13 05:27:24.757279,
138.72882080078125,24,2019-12-13 05:27:24.875482,
126.41338348388672,24,2019-12-13 05:27:24.995414,
120.65027618408203,24,2019-12-13 05:27:25.108471,
111.91152954101562,24,2019-12-13 05:27:25.225542,
137.4987030029297,24,2019-12-13 05:27:25.337865,
125.1939926147461,24,2019-12-13 05:27:25.454520,
115.30300903320312,24,2019-12-13 05:27:25.566780,
115.17892456054688,24,2019-12-13 05:27:25.690844,-5599.400390625
106.3284912109375,24,2019-12-13 05:27:25.799110,
113.05765533447266,24,2019-12-13 05:27:25.911989,
109.75157928466797,24,2019-12-13 05:27:26.028408,
100.69791412353516,24,2019-12-13 05:27:26.142930,
119.9810562133789,24,2019-12-13 05:27:26.256295,
103.6179428100586,24,2019-12-13 05:27:26.367205,
104.80770874023438,24,2019-12-13 05:27:26.483624,
109.01927947998047,24,2019-12-13 05:27:26.593360,
101.09420776367188,24,2019-12-13 05:27:26.714324,
109.03154754638672,24,2019-12-13 05:27:26.836776,
112.35338592529297,24,2019-12-13 05:27:26.952641,
103.19662475585938,24,2019-12-13 05:27:27.065633,
113.6508560180664,24,2019-12-13 05:27:27.183149,
110.38888549804688,24,2019-12-13 05:27:27.290976,
131.20474243164062,24,2019-12-13 05:27:27.404257,
98.49401092529297,24,2019-12-13 05:27:27.524364,
131.325927734375,24,2019-12-13 05:27:27.645991,
119.87547302246094,24,2019-12-13 05:27:27.756481,
